                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0764,                 4.5011,                 3.4544,                0.20215,                0.13662,                0.04916,                0.01743,                  2.095,                 3.4625,                 2.4761,             0.00013872,             0.00013872,             0.00013872
                      2,                 2.0822,                 3.0741,                 2.1139,                0.21414,                0.31792,                0.12275,                0.06922,                 1.5526,                 2.7022,                 1.7605,             0.00026398,             0.00026398,             0.00026398
                      3,                 1.6967,                  2.604,                  1.732,                0.31889,                0.44056,                0.22144,                0.13062,                   1.39,                 2.3552,                 1.5568,             0.00037547,             0.00037547,             0.00037547
                      4,                 1.5251,                 2.3098,                 1.5677,                0.23536,                0.46281,                0.26993,                0.16512,                 1.2795,                 2.2126,                 1.4467,             0.00035508,             0.00035508,             0.00035508
                      5,                 1.4321,                 2.0816,                  1.484,                0.39904,                0.54105,                0.41404,                0.27558,                 1.1696,                 1.7422,                 1.3639,             0.00035508,             0.00035508,             0.00035508
                      6,                 1.3783,                 1.9211,                 1.4317,                0.35982,                0.53905,                0.45115,                0.30484,                 1.1462,                 1.6329,                 1.3397,             0.00033443,             0.00033443,             0.00033443
                      7,                 1.3359,                 1.7775,                 1.3918,                0.49642,                0.59491,                0.56946,                0.40111,                 1.0908,                  1.427,                 1.2723,             0.00031379,             0.00031379,             0.00031379
                      8,                 1.2989,                 1.6726,                 1.3641,                0.54883,                0.64143,                0.60838,                0.43025,                 1.0732,                 1.3438,                 1.2699,             0.00029315,             0.00029315,             0.00029315
                      9,                 1.2653,                 1.5774,                  1.337,                0.61589,                0.64927,                  0.675,                0.48764,                 1.0371,                 1.2367,                 1.2367,             0.00027251,             0.00027251,             0.00027251
                     10,                 1.2497,                 1.4746,                 1.3173,                0.60946,                0.64274,                 0.6763,                0.48769,                 1.0267,                 1.2113,                  1.224,             0.00025187,             0.00025187,             0.00025187
                     11,                 1.1425,                 1.3272,                  1.291,                0.64303,                0.69755,                0.73597,                0.53369,                 1.0228,                 1.1018,                 1.2261,             0.00023123,             0.00023123,             0.00023123
                     12,                 1.1238,                 1.2454,                 1.2747,                0.67464,                0.72614,                0.77812,                0.56295,                 1.0252,                 1.0591,                  1.233,             0.00021059,             0.00021059,             0.00021059
                     13,                 1.1036,                 1.1692,                 1.2585,                0.73043,                0.75351,                0.80951,                0.59713,                0.97795,                0.96314,                 1.1865,             0.00018994,             0.00018994,             0.00018994
                     14,                 1.0797,                 1.1122,                 1.2441,                0.67873,                0.72225,                0.77885,                0.57624,                0.98075,                 1.0253,                 1.1915,              0.0001693,              0.0001693,              0.0001693
