                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0811,                 1.0904,                 1.2414,                0.71533,                0.75164,                0.80046,                0.58052,                 1.0049,                0.97439,                  1.195,             0.00013872,             0.00013872,             0.00013872
                      2,                 1.0972,                 1.1075,                  1.248,                0.73497,                0.72848,                0.79783,                0.58675,                0.98249,                0.99488,                 1.1895,             0.00025023,             0.00025023,             0.00025023
                      3,                  1.095,                 1.0987,                  1.245,                0.73279,                0.75824,                0.81217,                0.59023,                0.99358,                0.95243,                 1.1887,             0.00033421,             0.00033421,             0.00033421
                      4,                 1.0782,                 1.0734,                 1.2344,                0.75545,                0.73978,                0.82339,                0.61028,                0.97878,                0.93768,                 1.1753,             0.00029315,             0.00029315,             0.00029315
                      5,                 1.0708,                 1.0182,                 1.2226,                0.77846,                0.77215,                 0.8482,                0.62887,                0.98116,                0.90082,                 1.1684,             0.00029315,             0.00029315,             0.00029315
                      6,                 1.0526,                0.97522,                 1.2048,                0.77407,                0.75795,                0.84843,                0.63777,                0.95057,                0.88052,                 1.1434,             0.00025187,             0.00025187,             0.00025187
                      7,                 1.0269,                0.91533,                 1.1908,                0.81193,                0.82996,                0.89121,                0.66881,                0.93763,                0.77617,                 1.1365,             0.00021059,             0.00021059,             0.00021059
                      8,                  1.014,                0.86605,                 1.1791,                0.85189,                0.81379,                0.89947,                0.67853,                0.93986,                0.74416,                 1.1311,              0.0001693,              0.0001693,              0.0001693
                      9,                0.99964,                0.82438,                 1.1681,                0.85684,                0.83947,                 0.9093,                0.69126,                0.91955,                0.70176,                 1.1204,             0.00012802,             0.00012802,             0.00012802
                     10,                 0.9875,                 0.7992,                 1.1621,                0.87081,                0.85034,                0.91846,                 0.6985,                 0.9186,                0.67808,                 1.1207,             8.6736e-05,             8.6736e-05,             8.6736e-05
